mod,snr_db,n,nmse_db,snr_gain_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,1.1230820044875145,18.843457616865635,101.55857629042413,100.48669074977727,0.46763392857142855,0.46693638392857145
16QAM,-18.0,16,0.5956480130553246,17.464604534208775,100.38860730203272,100.0795302664572,0.45786830357142855,0.45619419642857145
16QAM,-16.0,16,0.11441939389624167,15.936224407792906,99.40479685240524,98.95121913864801,0.435546875,0.43680245535714285
16QAM,-14.0,16,-0.6238554557785392,14.65838663186878,93.37675759646234,92.56426465560051,0.412109375,0.4111328125
16QAM,-12.0,16,-1.266231868416071,13.253214035183191,89.20418199255309,89.44505761489631,0.38699776785714285,0.38546316964285715
16QAM,-10.0,16,-2.0133435130119324,11.996663510799408,81.82911970773118,81.30492324543519,0.34974888392857145,0.3452845982142857
16QAM,-8.0,16,-3.0919947773218155,11.04403506219387,73.20797338203919,74.65051262104814,0.30259486607142855,0.30873325892857145
16QAM,-6.0,16,-4.494444787502289,10.479076743125916,60.34467460159999,61.219114480671635,0.2412109375,0.23758370535714285
16QAM,-4.0,16,-5.575120121240616,9.634097501635551,53.16253523378927,53.55594976762994,0.19782366071428573,0.19489397321428573
16QAM,-2.0,16,-7.1758193373680115,9.158844158053398,43.93352362919585,45.10232053068991,0.14397321428571427,0.14871651785714285
16QAM,0.0,16,-8.657326817512512,8.658633640618064,38.749658816478146,39.068525821544085,0.10560825892857142,0.10477120535714286
16QAM,2.0,16,-10.166580736637115,8.141577154397964,31.122513502119638,31.176866466185732,0.05901227678571429,0.06040736607142857
16QAM,4.0,16,-11.63513559103012,7.651401773095131,27.259348724465887,27.300646432056453,0.041294642857142856,0.0400390625
16QAM,6.0,16,-13.31027889251709,7.34409362077713,22.841178640069984,22.520213236166825,0.022600446428571428,0.0205078125
16QAM,8.0,16,-15.066078662872314,7.069521456956863,19.882437488849067,19.686908534806207,0.012137276785714286,0.011997767857142858
16QAM,10.0,16,-16.910717964172363,6.871441900730133,18.748740599813676,18.568179624206678,0.013392857142857142,0.013392857142857142
16QAM,12.0,16,-18.648311734199524,6.626248896121979,14.307337210840375,13.974894489515172,0.0004185267857142857,0.00027901785714285713
16QAM,14.0,16,-20.28223466873169,6.309521794319153,13.264883718410587,12.98400106539997,0.0004185267857142857,0.00013950892857142856
16QAM,16.0,16,-21.68446409702301,5.665576279163361,11.874414958329723,11.371579331253972,0.00013950892857142856,0.00013950892857142856
16QAM,18.0,16,-23.00405180454254,5.006268262863159,11.778430051506275,11.366296344076128,0.0005580357142857143,0.0008370535714285714
16QAM,20.0,16,-24.167476296424866,4.123388290405273,11.884294640122583,11.387703634524424,0.0011160714285714285,0.0005580357142857143
64QAM,-20.0,16,1.0941282771527767,18.875805351883173,103.54569611740632,101.79083211594995,0.49367559523809523,0.48139880952380953
64QAM,-18.0,16,0.6390192545950413,17.318490978330374,104.20024073893504,102.1385316158532,0.47079613095238093,0.4655877976190476
64QAM,-16.0,16,-0.08004306006478146,16.085456353903282,100.05511465397225,99.05489842079274,0.4575892857142857,0.45479910714285715
64QAM,-14.0,16,-0.5486237341538072,14.554362052120268,93.69548479401911,93.87666633251492,0.45228794642857145,0.45284598214285715
64QAM,-12.0,16,-1.2970754653215408,13.29565079510212,88.22613826500799,87.1238891901505,0.42745535714285715,0.42234002976190477
64QAM,-10.0,16,-1.9433366060256958,11.974896609783173,83.35984225486962,83.00396029255805,0.41517857142857145,0.40727306547619047
64QAM,-8.0,16,-3.2254344671964645,11.244912818074226,70.15811966080437,70.11677342513083,0.35770089285714285,0.35965401785714285
64QAM,-6.0,16,-4.368049219250679,10.362424775958061,64.90785616945087,66.1151396073235,0.34151785714285715,0.34151785714285715
64QAM,-4.0,16,-5.658830791711807,9.614058762788773,53.57919820887969,54.37008024659964,0.2937127976190476,0.29194568452380953
64QAM,-2.0,16,-7.246019691228867,9.198764607310295,43.926933840855675,44.36006182149803,0.2300967261904762,0.2340029761904762
64QAM,0.0,16,-8.519241571426392,8.57722549085156,39.899115488626975,40.887091663600955,0.21595982142857142,0.21791294642857142
64QAM,2.0,16,-10.08928257226944,8.04996382445097,32.19598379957334,32.201204583588634,0.17103794642857142,0.16806175595238096
64QAM,4.0,16,-11.691975057125092,7.682921126484871,25.996424530044273,25.771000583192134,0.13671875,0.1324404761904762
64QAM,6.0,16,-13.390234351158142,7.40167573094368,21.717426198355508,21.51715532046758,0.09365699404761904,0.0955171130952381
64QAM,8.0,16,-15.185700833797455,7.207777112722397,19.42591087547394,19.080111995420197,0.07552083333333333,0.07235863095238096
64QAM,10.0,16,-16.832026600837708,6.822503089904785,18.38529096888805,17.97805496701137,0.0703125,0.06668526785714286
64QAM,12.0,16,-18.582006812095642,6.572028577327728,15.196542687563944,14.847840545904326,0.04529389880952381,0.04138764880952381
64QAM,14.0,16,-20.24463379383087,6.2473761439323425,13.60341602315334,13.363255159345083,0.03524925595238095,0.03264508928571429
64QAM,16.0,16,-21.613481044769287,5.5349021553993225,13.025843080627334,12.482948579795355,0.030691964285714284,0.026041666666666668
64QAM,18.0,16,-22.837300062179565,4.8247270584106445,13.193308904544757,12.71327893757708,0.030412946428571428,0.026413690476190476
64QAM,20.0,16,-24.04236590862274,3.994489908218384,11.699247446914246,11.232937404122943,0.01906622023809524,0.016183035714285716
8PSK,-20.0,16,1.2111566960811615,18.8045394718647,106.08814792833485,108.4190552680827,0.4724702380952381,0.47079613095238093
8PSK,-18.0,16,0.4822216974571347,17.49016823899001,103.11927505837491,99.44359139600019,0.4518229166666667,0.4497767857142857
8PSK,-16.0,16,0.06048127030953765,15.970659951213747,97.09747263817962,96.6659325985992,0.4185267857142857,0.40438988095238093
8PSK,-14.0,16,-0.612807678990066,14.577031540684402,94.23481476378115,92.42370902502759,0.39546130952380953,0.3829985119047619
8PSK,-12.0,16,-1.1953920386731625,13.183852043002844,88.6850456540678,88.04937747930742,0.3411458333333333,0.34151785714285715
8PSK,-10.0,16,-2.1418798863887787,12.086998075246811,79.92710488843778,79.51245039025578,0.29055059523809523,0.29482886904761907
8PSK,-8.0,16,-3.221634104847908,11.181335046887398,70.1970636461082,71.76702997197259,0.24627976190476192,0.2379092261904762
8PSK,-6.0,16,-4.342313691973686,10.378068372607231,60.561780008028705,62.66444295541168,0.1832217261904762,0.18340773809523808
8PSK,-4.0,16,-5.791438013315201,9.772056996822357,50.74073453875236,53.607083436298566,0.13950892857142858,0.14322916666666666
8PSK,-2.0,16,-7.1922959089279175,9.169160544872284,42.916693112905726,45.06097779628246,0.09021577380952381,0.09077380952380952
8PSK,0.0,16,-8.945586204528809,8.888959220174002,34.04265114946075,35.51739224081087,0.05171130952380952,0.047061011904761904
8PSK,2.0,16,-10.2054682970047,8.217919394373894,30.777548010563564,31.60955728920938,0.03366815476190476,0.03366815476190476
8PSK,4.0,16,-11.64997136592865,7.653617963194847,23.63206240775677,23.889070513011063,0.010044642857142858,0.008742559523809524
8PSK,6.0,16,-13.311358094215393,7.332200795412064,20.65945325329018,20.784805923269467,0.00427827380952381,0.004650297619047619
8PSK,8.0,16,-15.239308834075928,7.250010758638382,16.667653061831516,16.565830141409258,0.0005580357142857143,0.0003720238095238095
8PSK,10.0,16,-16.92650079727173,6.94489061832428,14.410201796610478,14.301442863300396,0.001488095238095238,0.0016741071428571428
8PSK,12.0,16,-18.81247651576996,6.809975981712341,11.35368830390258,11.221508490005663,0.0,0.0
8PSK,14.0,16,-20.32403600215912,6.299450874328613,12.51679813054349,12.360267454538542,0.006138392857142857,0.006138392857142857
8PSK,16.0,16,-21.96659278869629,5.971005618572235,8.943176770758651,8.721187071730899,0.0,0.0
8PSK,18.0,16,-23.449221968650818,5.489834308624268,7.757929289318678,7.628946689449755,0.0,0.0
8PSK,20.0,16,-24.539777517318726,4.561064839363098,7.995783688609988,7.574440819831646,0.0,0.0
BPSK,-20.0,16,1.1630848459899426,18.83448328450322,102.88473337954402,102.86614049459558,0.3984375,0.40011160714285715
BPSK,-18.0,16,0.7086284458637238,17.27033695578575,98.86948877427132,99.16804972743407,0.3794642857142857,0.36216517857142855
BPSK,-16.0,16,-0.017622631043195724,16.0343912653625,100.43396059407667,99.8867324985732,0.3443080357142857,0.32979910714285715
BPSK,-14.0,16,-0.6146024372428656,14.607347896322608,92.7815765560571,93.03321410094438,0.25669642857142855,0.24274553571428573
BPSK,-12.0,16,-1.1020556800067425,13.06969190761447,91.40175428503271,91.42868976166977,0.21986607142857142,0.21540178571428573
BPSK,-10.0,16,-1.9344322234392166,11.977839723229408,80.02858670852233,79.74513213001097,0.14397321428571427,0.13504464285714285
BPSK,-8.0,16,-3.2071710973978043,11.223325327038765,71.23822129023745,72.39470047394745,0.08091517857142858,0.07533482142857142
BPSK,-6.0,16,-4.384874671697617,10.453032314777374,60.142716006830625,61.684374058759474,0.026785714285714284,0.029017857142857144
