mod,snr_db,n,nmse_db,snr_gain_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,-0.09317878793626733,20.059718409289417,102.62867601363037,100.48669074977727,0.47530691964285715,0.46693638392857145
16QAM,-18.0,16,-0.274750457610935,18.335003004875034,101.33717385753746,100.0795302664572,0.46205357142857145,0.45619419642857145
16QAM,-16.0,16,-0.5433197887614369,16.593963590450585,99.10742304074114,98.95121913864801,0.43959263392857145,0.43680245535714285
16QAM,-14.0,16,-1.0644374340772629,15.098968610167503,93.12849468655062,92.56426465560051,0.41015625,0.4111328125
16QAM,-12.0,16,-1.6713670417666435,13.658349208533764,88.91289620425076,89.44505761489631,0.3911830357142857,0.38546316964285715
16QAM,-10.0,16,-2.3214672058820724,12.304787203669548,80.87400427110892,81.30492324543519,0.3583984375,0.3452845982142857
16QAM,-8.0,16,-3.500639781355858,11.452680066227913,72.49178179810687,74.65051262104814,0.306640625,0.30873325892857145
16QAM,-6.0,16,-4.987670332193375,10.972302287817001,61.20152453276384,61.219114480671635,0.24609375,0.23758370535714285
16QAM,-4.0,16,-6.168098270893097,10.227075651288033,53.051071209922654,53.55594976762994,0.20465959821428573,0.19489397321428573
16QAM,-2.0,16,-7.7807561457157135,9.7637809664011,44.543250880655165,45.10232053068991,0.14997209821428573,0.14871651785714285
16QAM,0.0,16,-9.587576627731323,9.588883450836875,39.540390516501844,39.068525821544085,0.115234375,0.10477120535714286
16QAM,2.0,16,-11.21413266658783,9.189129084348679,31.566422467916528,31.176866466185732,0.06975446428571429,0.06040736607142857
16QAM,4.0,16,-12.918775498867035,8.935041680932045,27.63077383138687,27.300646432056453,0.048130580357142856,0.0400390625
16QAM,6.0,16,-14.621461808681488,8.655276536941528,23.232547884372128,22.520213236166825,0.026785714285714284,0.0205078125
16QAM,8.0,16,-16.38009685277939,8.383539646863937,19.928886855781364,19.686908534806207,0.012834821428571428,0.011997767857142858
16QAM,10.0,16,-18.22156012058258,8.18228405714035,19.149109263846636,18.568179624206678,0.016462053571428572,0.013392857142857142
16QAM,12.0,16,-20.021682500839233,7.999619662761688,14.96218203478055,13.974894489515172,0.0005580357142857143,0.00027901785714285713
16QAM,14.0,16,-21.69623041152954,7.723517537117004,13.959932516817297,12.98400106539997,0.0005580357142857143,0.00013950892857142856
16QAM,16.0,16,-23.011718153953552,6.992830336093903,12.678908497486493,11.371579331253972,0.0004185267857142857,0.00013950892857142856
16QAM,18.0,16,-24.493191838264465,6.495408296585083,12.53352857665515,11.366296344076128,0.0016741071428571428,0.0008370535714285714
16QAM,20.0,16,-25.601324439048767,5.557236433029175,12.364803652005303,11.387703634524424,0.0011160714285714285,0.0005580357142857143
64QAM,-20.0,16,-0.17429618863388896,20.14422981766984,100.93567778671618,101.79083211594995,0.49209449404761907,0.48139880952380953
64QAM,-18.0,16,-0.26726762647740543,18.22477785940282,103.07226335364794,102.1385316158532,0.4680989583333333,0.4655877976190476
64QAM,-16.0,16,-0.6603645253926516,16.665777819231153,100.37021832431317,99.05489842079274,0.46047247023809523,0.45479910714285715
64QAM,-14.0,16,-0.944894777610898,14.95063309557736,95.25375241572499,93.87666633251492,0.4513578869047619,0.45284598214285715
64QAM,-12.0,16,-1.6283957213163376,13.626971051096916,88.75105180860658,87.1238891901505,0.4298735119047619,0.42234002976190477
64QAM,-10.0,16,-2.248375467956066,12.279935471713543,84.55732579971834,83.00396029255805,0.41173735119047616,0.40727306547619047
64QAM,-8.0,16,-3.566326141357422,11.585804492235184,70.69686361829929,70.11677342513083,0.37081473214285715,0.35965401785714285
64QAM,-6.0,16,-4.79139843583107,10.785773992538452,65.52464579786806,66.1151396073235,0.349609375,0.34151785714285715
64QAM,-4.0,16,-6.192592650651932,10.147820621728897,54.07398005968926,54.37008024659964,0.30106026785714285,0.29194568452380953
64QAM,-2.0,16,-7.847455143928528,9.800200060009956,45.63842975458362,44.36006182149803,0.25046502976190477,0.2340029761904762
64QAM,0.0,16,-9.307678163051605,9.365662082476774,39.39071630045629,40.887091663600955,0.22256324404761904,0.21791294642857142
64QAM,2.0,16,-11.079850673675537,9.040531925857067,33.04306487813197,32.201204583588634,0.18071056547619047,0.16806175595238096
64QAM,4.0,16,-12.917284488677979,8.908230558037758,27.201157546943378,25.771000583192134,0.14434523809523808,0.1324404761904762
64QAM,6.0,16,-14.735306680202484,8.746748059988022,22.40363701504259,21.51715532046758,0.10416666666666667,0.0955171130952381
64QAM,8.0,16,-16.518476366996765,8.540552645921707,20.281856214901964,19.080111995420197,0.08510044642857142,0.07235863095238096
64QAM,10.0,16,-18.150362014770508,8.140838503837585,19.01933483817177,17.97805496701137,0.07645089285714286,0.06668526785714286
64QAM,12.0,16,-19.782068729400635,7.772090494632721,16.06202278605918,14.847840545904326,0.051060267857142856,0.04138764880952381
64QAM,14.0,16,-21.59163463115692,7.594376981258392,14.393079847799768,13.363255159345083,0.04250372023809524,0.03264508928571429
64QAM,16.0,16,-22.71371030807495,6.635131418704987,13.71641627094678,12.482948579795355,0.03506324404761905,0.026041666666666668
64QAM,18.0,16,-24.196868896484375,6.184295892715454,14.091784592302577,12.71327893757708,0.037388392857142856,0.026413690476190476
64QAM,20.0,16,-25.58980941772461,5.5419334173202515,12.362181146363724,11.232937404122943,0.023158482142857144,0.016183035714285716
8PSK,-20.0,16,-0.041801233659498394,20.05749740160536,106.7797118170309,108.4190552680827,0.47228422619047616,0.47079613095238093
8PSK,-18.0,16,-0.3818863816559315,18.354276318103075,100.79755005491229,99.44359139600019,0.44494047619047616,0.4497767857142857
8PSK,-16.0,16,-0.5904821204021573,16.621623341925442,96.4129181310126,96.6659325985992,0.41127232142857145,0.40438988095238093
8PSK,-14.0,16,-1.0712390318512917,15.035462893545628,95.3042851114977,92.42370902502759,0.3952752976190476,0.3829985119047619
8PSK,-12.0,16,-1.5720738992094994,13.56053390353918,88.08132944292821,88.04937747930742,0.3411458333333333,0.34151785714285715
8PSK,-10.0,16,-2.4508288502693176,12.39594703912735,79.33037694244194,79.51245039025578,0.29575892857142855,0.29482886904761907
8PSK,-8.0,16,-3.804513707756996,11.764214649796486,68.58584053332811,71.76702997197259,0.2457217261904762,0.2379092261904762
8PSK,-6.0,16,-5.184077203273773,11.219831883907318,57.83030574136998,62.66444295541168,0.1800595238095238,0.18340773809523808
8PSK,-4.0,16,-6.936683714389801,10.917302697896957,46.884289367177466,53.607083436298566,0.13876488095238096,0.14322916666666666
8PSK,-2.0,16,-8.677477717399597,10.654342353343964,37.28931568195323,45.06097779628246,0.09077380952380952,0.09077380952380952
8PSK,0.0,16,-11.058502733707428,11.001875749352621,28.58052463332374,35.51739224081087,0.046875,0.047061011904761904
8PSK,2.0,16,-12.578682839870453,10.591133937239647,25.9719813041648,31.60955728920938,0.03180803571428571,0.03366815476190476
8PSK,4.0,16,-14.442139446735382,10.44578604400158,19.445954819002086,23.889070513011063,0.009114583333333334,0.008742559523809524
8PSK,6.0,16,-15.930977523326874,9.951820224523544,17.60065685036914,20.784805923269467,0.004836309523809524,0.004650297619047619
8PSK,8.0,16,-17.76150155067444,9.772203475236893,14.540687202789671,16.565830141409258,0.00018601190476190475,0.0003720238095238095
8PSK,10.0,16,-19.031795144081116,9.050184965133667,13.047004276775038,14.301442863300396,0.0027901785714285715,0.0016741071428571428
8PSK,12.0,16,-20.905007123947144,8.902506589889526,10.152884197838521,11.221508490005663,0.0,0.0
8PSK,14.0,16,-22.124826669692993,8.100241541862488,12.109910007678423,12.360267454538542,0.007068452380952381,0.006138392857142857
8PSK,16.0,16,-24.180106043815613,8.184518873691559,7.9654476126187355,8.721187071730899,0.0,0.0
