mod,snr_db,n,nmse_db,snr_gain_db,si_sdr_db,si_sdr_gain_db,excess_over_shrinkage_db,evm_pct,evm_pct_noisy,ber,ber_noisy
16QAM,-20.0,16,0.2496045301668346,19.716064386535436,0.06604805670212954,0.023683398263528943,-0.29317649570293725,103.65871831845574,105.62640545826011,0.49798387096774194,0.4993699596774194
16QAM,-18.0,16,0.13432848313823342,17.913083793129772,0.10817572707310319,0.04081897088326514,-0.20192648749798536,103.53560256730805,106.57130771324057,0.4897618447580645,0.49420362903225806
16QAM,-16.0,16,-0.00581892067566514,16.061121600214392,0.18844435410574079,0.07468598103150725,-0.10062517831102014,103.12535955768078,103.62474264041877,0.4865171370967742,0.4814453125
16QAM,-14.0,16,-0.12411342118866742,14.123017351375893,0.2825634106993675,0.1113714356906712,-0.045522637432441115,103.87172178289158,105.49659471352984,0.4817918346774194,0.47952368951612906
16QAM,-12.0,16,-0.2497615817701444,12.255727231851779,0.39950923807919025,0.14856175892055035,-0.015745054581202567,103.38373851472363,104.97558534478542,0.4598349294354839,0.4642137096774194
16QAM,-10.0,16,-0.6217314042150974,10.599999014288187,0.7173521444201469,0.28939890675246716,0.20566595532000065,98.86315765253417,101.33439677099788,0.44915574596774194,0.44928175403225806
16QAM,-8.0,16,-0.9592576138675213,8.902679782360792,1.0564606487751007,0.42298225313425064,0.3123868368566036,96.45089877524532,95.90609428357078,0.42228452620967744,0.42581275201612906
16QAM,-6.0,16,-1.5085345059633255,7.51117105782032,1.578923299908638,0.6129738874733448,0.5355111062526703,93.74584705094298,94.63386874488717,0.40678553427419356,0.4017452116935484
16QAM,-4.0,16,-2.288453087210655,6.337563723325729,2.3329837769269943,0.9021307528018951,0.8465669900178909,84.14361988212634,86.14233870298,0.37184979838709675,0.3746849798387097
16QAM,-2.0,16,-3.3928475379943848,5.386649176478386,3.4226073771715164,1.2795446887612343,1.2652248293161392,84.26075261132424,87.16165303168822,0.36176915322580644,0.36917212701612906
16QAM,0.0,16,-4.698205858469009,4.689183916998445,4.711925148963928,1.6908265352249146,1.6831391006708145,69.88038350542675,73.22456890148015,0.2901650705645161,0.29611895161290325
16QAM,2.0,16,-6.06985878944397,4.055094942450523,6.077357053756714,1.9582658410072327,1.9357741326093674,57.82208272999921,60.319425644772046,0.2216796875,0.22719254032258066
16QAM,4.0,16,-7.600024312734604,3.6027036607265472,7.6058129370212555,2.162677824497223,2.1461297273635864,55.300553430946856,57.81629908058067,0.2099609375,0.20942540322580644
16QAM,6.0,16,-9.301118552684784,3.324588716030121,9.31041020154953,2.33500999212265,2.346385180950165,46.668100439598774,47.02810773447906,0.15946320564516128,0.16100680443548387
16QAM,8.0,16,-11.065544128417969,3.066775470972061,11.073568403720856,2.409523665904999,2.4274460673332214,38.15493485264831,38.643184130846805,0.1123046875,0.11107610887096774
16QAM,10.0,16,-12.72865355014801,2.7156363129615784,12.734789788722992,2.2993080019950867,2.302790880203247,33.86223891804555,33.468913860545584,0.08064516129032258,0.07538432459677419
16QAM,12.0,16,-14.433860957622528,2.4244324564933777,14.442689776420593,2.170103430747986,2.159154951572418,28.308876611954247,27.62713671423835,0.052734375,0.04722152217741935
16QAM,14.0,16,-16.138112783432007,2.1620620489120483,16.16123080253601,2.016124665737152,1.991479516029358,26.227425227296727,25.293306980446303,0.04618195564516129,0.04309475806451613
16QAM,16.0,16,-17.68889033794403,1.6806864142417908,17.73058295249939,1.6033892035484314,1.573038399219513,22.287389856690766,20.886540429100638,0.024855090725806453,0.019121723790322582
16QAM,18.0,16,-19.246104836463928,1.2633607387542725,19.32821524143219,1.2718192338943481,1.1947673559188843,19.96279731245061,18.57790495071847,0.02233492943548387,0.017767137096774195
16QAM,20.0,16,-20.721874952316284,0.6825907230377197,20.868226408958435,0.7849879264831543,0.6397370100021362,20.141342649171882,18.377429997598156,0.027406754032258066,0.024193548387096774
64QAM,-20.0,16,0.2379474483896047,19.741221562726423,0.07136294757947326,0.02531395759433508,-0.28138744668103755,103.06043355763232,104.47283065314792,0.4971858198924731,0.4926915322580645
64QAM,-18.0,16,0.12164105547708459,17.825010880100308,0.11380195594392717,0.041939421091228724,-0.1908116296690423,102.58390410506333,102.76525799954035,0.49731182795698925,0.4926495295698925
64QAM,-16.0,16,0.017225743817107286,16.002383528662904,0.17674763360992074,0.07231536670587957,-0.1245223377700313,104.24648506827518,106.33392396162819,0.4884072580645161,0.4864331317204301
64QAM,-14.0,16,-0.1399606919294456,14.167930648327456,0.29159707855433226,0.11470185127109289,-0.02859414774866309,102.10347580162558,103.29229753573813,0.4881762432795699,0.4903393817204301
64QAM,-12.0,16,-0.2933159554377198,12.271488496102393,0.4361339155584574,0.17180414777249098,0.026132931001484394,103.86642210023624,102.78492661992652,0.47843161962365593,0.4780115927419355
64QAM,-10.0,16,-0.5534943714737892,10.591385640203953,0.6624455992132425,0.2591543421149254,0.14286251738667488,100.34024393847517,102.60643636206143,0.47261424731182794,0.47647849462365593
64QAM,-8.0,16,-0.9636022448539734,8.979388177394867,1.0500947944819927,0.4111107885837555,0.32672082632780075,95.18415123685128,95.65256913900288,0.452158938172043,0.4503318212365591
64QAM,-6.0,16,-1.4104477614164352,7.3976159542799,1.490371286869049,0.5500227771699429,0.4344576224684715,97.34052149668625,98.94636069202171,0.448252688172043,0.4487357190860215
64QAM,-4.0,16,-2.319453828036785,6.286417655646801,2.3680505380034447,0.915529303252697,0.8543306738138199,87.94845139733911,89.17626088047163,0.4256132392473118,0.4220640120967742
64QAM,-2.0,16,-3.3355896174907684,5.300957478582859,3.367760047316551,1.2509869635105133,1.1975352615118027,80.73805245857811,81.75765246422199,0.39348118279569894,0.3990885416666667
64QAM,0.0,16,-4.641794636845589,4.667955884709954,4.652916520833969,1.6260113567113876,1.6440626978874207,71.73142402180586,74.5610043817383,0.3707787298387097,0.37525201612903225
64QAM,2.0,16,-6.06295371055603,4.033797189593315,6.06864008307457,1.9156128764152527,1.9201987981796265,58.31566629517992,59.281870501987505,0.3172043010752688,0.3199554771505376
64QAM,4.0,16,-7.4865995943546295,3.4877409040927887,7.495726853609085,2.056901663541794,2.0316981077194214,54.189836331362976,55.078981037142896,0.30395245295698925,0.3014532930107527
64QAM,6.0,16,-9.213676810264587,3.2405083179473877,9.221541821956635,2.260108858346939,2.261593520641327,48.77735910911207,49.50734138653546,0.2614247311827957,0.2599336357526882
64QAM,8.0,16,-11.060214698314667,3.0772816836833954,11.063760101795197,2.3856602907180786,2.4358490705490112,35.46162440568362,35.78055015093385,0.18756300403225806,0.18122059811827956
